delta,EKF,UKF,CKF,IDEKF
0.1,0.00023139626731330163,0.00023139627193544923,0.00023139627193544923,0.00023139626731330163
0.2,0.00021843168398354544,0.00021843168834672507,0.00021843168834672526,0.00021843168398354544
0.3,0.0002502479342044523,0.0002502479392031624,0.0002502479392031625,0.0002502479342044523
0.4,0.00025967162149597816,0.0002596716266829268,0.000259671626682927,0.00025967162149597816
0.5,9.063732015422364e-05,9.063732196470698e-05,9.063732196470685e-05,9.063732015422364e-05
0.1,0.08407714549500818,0.13614681309450472,0.13614681309450472,0.08407714549500818
0.2,0.11682614301503864,0.14789273273691617,0.1478927327369162,0.11682614301503862
0.3,0.13172169218091578,0.17809659139149575,0.17809659139149564,0.13172169218091576
0.4,0.15503234560052404,0.1899191464892538,0.18991914648925362,0.15503234560052404
0.5,0.055339425273262625,0.06759499540192103,0.0675949954019211,0.055339425273262625
0.1,0.11733683919007203,0.1380811207904186,0.13744067778146252,0.117336839190072
0.2,0.13060947028550438,0.15008563090205368,0.14979245406356193,0.13060947028550435
0.3,0.15886695169753492,0.17772561435967654,0.17760854652087785,0.15886695169753492
0.4,0.1821675015067176,0.19150408299654748,0.1914429646610758,0.18216750150671765
0.5,0.06438024619340176,0.06857952398049502,0.06858055416423256,0.06438024619340176
