delta,EKF,UKF,CKF,IDEKF,sigma
0.1,7.344327840229827e-05,0.7035445782103709,0.707317298107606,7.318179612972045e-05,0.0001
0.2,4.6900098679516186e-05,0.9478803586528449,0.944875295162712,4.6521509897265975e-05,0.0001
0.3,4.280414370640918e-05,1.2946453830518199,1.2720775905396466,4.280569405031846e-05,0.0001
0.4,7.076434612871522e-05,2.4876242919778107,1.5196402622522058,7.086002078091853e-05,0.0001
0.5,2.6437551858482327e-05,1.815116987980807,3807862.4305812144,2.643199027363936e-05,0.0001
0.6,5.2362478084803535e-05,1.7883178521392198,1.7883442526996585,5.2360339609120055e-05,0.0001
0.7,1.9426219216752542e-05,1.6407314040292533,1.6398588950750712,1.9430391479679384e-05,0.0001
0.8,1.2419146542663201e-05,1.2764932736197194,5.705016167271452,1.2417290648921267e-05,0.0001
0.9,5.040849277078166e-05,2.1992212364433636,1.58226017839032,5.043336134775044e-05,0.0001
1.0,2.8065937629456634e-05,2.064660393793309,2.064778524174758,2.8067470066002257e-05,0.0001
