delta,EKF,IDEKF,sigma
0.1,4.058785717785128,4.030870130127963,1e-08
0.2,3.862213275633502,4.395835735233707,1e-08
0.3,0.11602897672277968,0.1159236779969776,1e-08
0.4,4.259168726473173,4.353587325909267,1e-08
0.5,0.20559711845956122,0.20557954918748345,1e-08
0.6,0.0866108333812047,0.08662902551557261,1e-08
0.7,0.07040124648604004,0.07039597122102141,1e-08
0.8,0.08712479668618694,0.0871227851996798,1e-08
0.9,0.06265815357673511,0.0626612449154233,1e-08
1.0,0.06623112791679289,0.06623217686385018,1e-08
0.1,3.293739693713492,4.827530626794175,1e-10
0.2,3.7581777286027154,3.7219538125886533,1e-10
0.3,0.11607825066847251,0.11653876916140682,1e-10
0.4,4.161515305396333,4.2678543277437555,1e-10
0.5,0.2054289379593677,0.20550071387141852,1e-10
0.6,0.0866219416224995,0.08659851642487194,1e-10
0.7,0.07043251724094593,0.07041903438305597,1e-10
0.8,0.08712443001108681,0.08712380620918264,1e-10
0.9,0.06265926269913241,0.06266659960476127,1e-10
1.0,0.06623235305689516,0.06623133369954161,1e-10
