delta,EKF,IDEKF,sigma,metric
0.1,1.1861664336909379,1.5577097466330263,1e-10,avg
0.2,1.7758281807920784,1.8238524918758403,1e-10,avg
0.3,1.5926582512132925,1.6289021385684714,1e-10,avg
0.4,2.407173375989838,2.407337746629029,1e-10,avg
0.5,1.9721594302090566,1.98495116916582,1e-10,avg
0.6,0.9179247437387816,0.917723846978982,1e-10,avg
0.7,0.8355932575286716,0.8355931413800772,1e-10,avg
0.8,3.7029951943189285,3.7037812144087763,1e-10,avg
0.9,1.9976735582249032,1.9975885163256157,1e-10,avg
1.0,1.9776937951514086,1.9855951622563126,1e-10,avg
0.1,1.1861664336909379,1.5577097466330263,1e-10,avg
0.2,1.7758281807920784,1.8238524918758403,1e-10,avg
0.3,1.5926582512132925,1.6289021385684714,1e-10,avg
0.4,2.407173375989838,2.407337746629029,1e-10,avg
0.5,1.9721594302090566,1.98495116916582,1e-10,avg
0.6,0.9179247437387816,0.917723846978982,1e-10,avg
0.7,0.8355932575286716,0.8355931413800772,1e-10,avg
0.8,3.7029951943189285,3.7037812144087763,1e-10,avg
0.9,1.9976735582249032,1.9975885163256157,1e-10,avg
1.0,1.9776937951514086,1.9855951622563126,1e-10,avg
