delta,EKF,SR-EKF,IDEKF,EKF_failures,SR-EKF_failures,IDEKF_failures
0.1,1.7005306109836982,1.4417559811480982,4.753652273890393,0,0,0
0.2,5.462397153167388,5.4623971534541775,5.552131046636799,0,0,0
0.3,2.6267107174380464,2.6267106463105665,2.69424391031536,0,0,0
0.4,6.854716251986378,6.854716251983944,4.75621754308833,0,0,0
0.5,4.26608548268549,4.205276696690503,3.982825526511975,0,0,0
0.6,2.0318593513400742,2.2207708249592777,2.0373202995215074,0,0,0
0.7,2.7647771039102422,2.764777103910242,2.7170398105556974,0,0,0
0.8,1.6756138782222785,1.978505709771119,1.5278111248660156,0,0,0
0.9,37.711757609164195,4.6962124891829236,18.220199360405886,0,0,0
1.0,4.706406710868988,4.70640671087029,3.3266082657745657,0,0,0
