delta,EKF,IDEKF,sigma,metric
0.4,6.2982007241082485,18.66895856083413,0.001,avg
0.6,2.2994283698376403,4.371073292009097,0.001,avg
0.8,7.390361600856631,6.022164495908319,0.001,avg
0.1,1.7004114886217754,3390.333367081568,0.001,avg
0.2,5.463543882467602,5.8930430648985235,0.001,avg
0.3,3.217007090771691,2.9172368450911312,0.001,avg
0.4,13.489081963465136,11.558830877858808,0.001,avg
0.5,3.3905136794325172,3.359038344671403,0.001,avg
0.6,2.7948431110637255,2.7744014110127884,0.001,avg
0.6,3.81708826226641,4.853971566440844,0.001,avg
0.8,6.4511730601099035,5.727899910443876,0.001,avg
0.1,1.700878310706219,3.3729955485435297,1e-08,avg
0.2,5.415159362053308,5.444753122143193,1e-08,avg
0.3,3.208789672614741,2.917253433086644,1e-08,avg
0.1,1.700878310706219,3.3729955485435297,1e-08,avg
0.2,5.415159362053308,5.444753122143193,1e-08,avg
0.3,3.208789672614741,2.917253433086644,1e-08,avg
0.4,13.521837755992005,366.99968482028004,1e-08,avg
0.5,3.390245852487681,3.3584647889712818,1e-08,avg
0.6,2.794455052411474,2.773810373089581,1e-08,avg
0.6,3.8133471960572947,4.850738655258861,1e-08,avg
0.8,6.4352185235669275,5.721886721679334,1e-08,avg
0.1,1.7005868885892137,1.4416624028503855,3.477736317666995,0,0,0,0.001,avg
0.2,5.446548575679296,5.446548574556898,3.9943374645269323,0,0,0,0.001,avg
0.4,7.573580986118531,7.5735809861185786,4.583067137575993,0,0,0,0.001,avg
0.6,1.8576743920587162,1.8623347100477843,1.846811681937395,0,0,0,0.001,avg
0.8,6.504784581842843,3.4617766388872426,5.151415223656729,0,0,0,0.001,avg
0.1,1.7005306109836982,1.4417559811480982,4.753652273890393,0,0,0,0.001,avg
0.2,5.462397153167388,5.4623971534541775,5.552131046636799,0,0,0,0.001,avg
0.3,2.6267107174380464,2.6267106463105665,2.69424391031536,0,0,0,0.001,avg
0.4,6.854716251986378,6.854716251983944,4.75621754308833,0,0,0,0.001,avg
0.5,4.26608548268549,4.205276696690503,3.982825526511975,0,0,0,0.001,avg
0.6,2.0318593513400742,2.2207708249592777,2.0373202995215074,0,0,0,0.001,avg
0.7,2.7647771039102422,2.764777103910242,2.7170398105556974,0,0,0,0.001,avg
0.8,1.6756138782222785,1.978505709771119,1.5278111248660156,0,0,0,0.001,avg
0.9,37.711757609164195,4.6962124891829236,18.220199360405886,0,0,0,0.001,avg
1.0,4.706406710868988,4.70640671087029,3.3266082657745657,0,0,0,0.001,avg
