split,seed,delta,filter,failed,failure_message,posterior_ARMSE,predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm,name,prior_scale,r_scale,weak_inflation,posterior_scale
tuning,4001,0.1,SR-EKF,0,,1.4339458176625628,1.8705908558133806,509944982.47150403,80217.39805372673,50972241384.12213,190109.41817762228,0.7687712214495696,1.2104509147680849,6.036570203324237e-06,7.225369649482961e-06,0.4470633650397587,56354.73831286613,3832734423.850627,0.9572232990645203,,,,,
tuning,4001,0.1,ID_baseline,0,,2.0804629394866483,2.311938147601136,43028783403.06245,81382.75397225373,43028790420.46114,92846.22470154546,1.0671028320963407,1.7859500520197633,3.78721267280672e-05,2.435081835179116e-05,0.7929323112881173,61294.984230993396,4375882788.904534,0.1935917372004045,ID_baseline,1.0,1.0,0.0,1.0
tuning,4001,0.1,ID_p1_r0.5_w0_post1,0,,2.3895060927470047,2.878964816713408,17598454123.31423,90242.25427557388,17598327955.474705,122681.43040161172,1.1414474381848563,2.0992467966240382,1.4570704782663536e-05,1.1183081551800806e-05,0.7708775145571514,79635.66282254396,10157241023.793156,0.31773189742002855,ID_p1_r0.5_w0_post1,1.0,0.5,0.0,1.0
tuning,4001,0.1,ID_p1_r0.5_w0_post3,0,,2.040896265396666,2.3417308596267614,20149121078.776913,24326.1659005083,60447358704.32975,267635.29219881207,0.7844983694852913,1.884096567160234,0.0003358856202195901,7.32814110448828e-05,1.461932268568126,61462.779577739675,4682331236.385237,0.4826104454110264,ID_p1_r0.5_w0_post3,1.0,0.5,0.0,3.0
tuning,4001,0.1,ID_p1_r0.5_w1_post1,0,,30537702.40058438,29814262.205688454,140773974752662.94,33447236840288.047,632052879232095.6,13881224046727.074,40.503137633116225,30537702.400557518,5.6552368152636526e-05,1115.4249398159443,0.7899831483422867,55846209.42294351,1648470479733387.2,3539827.875573198,ID_p1_r0.5_w1_post1,1.0,0.5,1.0,1.0
tuning,4001,0.1,ID_p1_r0.5_w1_post3,0,,2.335237089830246,2.6074666067861854,190332.02170803834,1599.0390397092697,125680295059.60156,16755.29661754288,0.8392883135118365,2.179203384845318,0.0005807183012877497,0.795200025528624,1.3485132084023372,72592.28731665816,8912878701.800251,1.185896069729856,ID_p1_r0.5_w1_post3,1.0,0.5,1.0,3.0
tuning,4001,0.1,ID_p1_r0.5_w10_post1,0,,135937.09652747534,119460.33751213223,170409213775.08905,987011.6680127545,360679353449.0561,72614634.77494821,7.000279055352255,135937.09634723054,5.39312388557407e-05,591.0752239419357,4.017631171661629,1946135.1483161233,40416459010482.71,19061.656509235083,ID_p1_r0.5_w10_post1,1.0,0.5,10.0,1.0
tuning,4001,0.1,ID_p1_r0.5_w10_post3,0,,2.2994961465780577,2.539141660919335,207737.94736757298,4482.663504779064,514960386798.7383,276403.3500083808,0.8800654226058928,2.124421657783795,0.0005000931880858658,5.222145976378172,11.672923980783384,56465.89004602252,3818837725.121684,0.710058249399576,ID_p1_r0.5_w10_post3,1.0,0.5,10.0,3.0
tuning,4001,0.1,ID_p1_r1_w0_post3,0,,2.047720346422194,2.3099487119888784,18584577180.368217,20484.16878747654,55753732861.65835,266905.7063536806,0.7794903551417612,1.8935557566104047,0.0005498989712150511,9.988272345694306e-05,1.5872922084731758,60164.01739702135,4367154469.58085,0.42780397187186203,ID_p1_r1_w0_post3,1.0,1.0,0.0,3.0
tuning,4001,0.1,ID_p1_r1_w1_post1,0,,9.267113835578886,5.728472552728795,403128137.6032385,1398.3579404509321,11791304835.371578,259433.44589579548,2.2480510259618307,8.990309528945573,0.00026351398513888794,22.760520546559427,0.6037249481994644,390379.50626155426,1537122642335.9302,5.038376815003631,ID_p1_r1_w1_post1,1.0,1.0,1.0,1.0
tuning,4001,0.1,ID_p1_r1_w1_post3,0,,262.6348062004324,174.6646814158663,2285053976388305.0,451358.0222676979,35067312789.57801,1114876.8865533774,54.7658353540751,256.86133361389574,0.0003221201524445289,72.63506761499806,1.532965595472995,164691061.5727469,975505832247602.6,171.90743590553825,ID_p1_r1_w1_post3,1.0,1.0,1.0,3.0
tuning,4001,0.1,ID_p1_r1_w10_post1,0,,7716468.642988908,7619973.150586298,18028742387957.688,651623953836.7183,18244598790959.9,1904370009203.6519,41.53029426324114,7716468.642877149,1.6701414284074797e-05,5355.897677130348,1.3632054322910796,82718027.33676535,6297172499816749.0,1110288.8769075102,ID_p1_r1_w10_post1,1.0,1.0,10.0,1.0
