seed,delta,case,measurement,sigma,Rmode,metric,include_initial,truth_noise,truth_qscale,P0_scale,x0_perturb,EKF_armse,EKF_time,EKF_failed,EKF_failure_message,SR-EKF_armse,SR-EKF_time,SR-EKF_failed,SR-EKF_failure_message,IDEKF_armse,IDEKF_time,IDEKF_failed,IDEKF_failure_message,SR_minus_IDEKF,IDEKF_percent_improvement_over_SR,IDEKF_beats_SR,EKF_minus_IDEKF
1,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.11264147666,1.645602334,0,,0.31017080409,1.41370291699,0,,0.323477594328,1.24116454198,0,,-0.0133067902378,-4.29014918953,0,2.78916388233
2,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,55.6707624938,1.864787167,0,,0.280718442975,1.28420979099,0,,0.285835771175,1.225794208,0,,-0.00511732820033,-1.82293979195,0,55.3849267226
3,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.42208070546,1.571295125,0,,0.371508573742,1.46999079204,0,,1.77221739997,1.51828783302,0,,-1.40070882623,-377.032705361,0,1.64986330549
4,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.340631574575,2.04583125003,0,,0.286434019126,3.80261445895,0,,0.430740230722,1.22800612496,0,,-0.144306211596,-50.3802628041,0,-0.0901086561468
5,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.31491749991,1.54768470803,0,,0.799913522011,1.290198125,0,,0.371295528699,1.23919179203,0,,0.428617993312,53.5830413561,1,0.943621971208
6,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.73791252466,1.83054012503,0,,0.28484019783,1.29705554195,0,,0.604870278277,1.25279150001,0,,-0.320030080447,-112.35425438,0,2.13304224638
7,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.76261592945,1.50741783401,0,,0.29728172854,1.31703508296,0,,74.2788345163,1.20920050004,0,,-73.9815527878,-24886.0073409,0,-71.5162185869
8,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.4610451425,1.48575887497,0,,0.335094613904,1.33691449999,0,,0.308351466206,1.225393083,0,,0.0267431476975,7.98077515659,1,1.15269367629
9,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.322781233102,1.41096908401,0,,0.307733787297,1.30845162499,0,,0.374660415738,1.304736708,0,,-0.0669266284415,-21.7482223936,0,-0.051879182636
10,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.60981248084,2.17945829203,0,,0.316539309654,2.16641516698,0,,1.73246658306,1.590775833,0,,-1.4159272734,-447.314829539,0,-0.122654102219
